GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
retail-platform,com.retail.controller,AdminOrderController,85,120,0,0,24,29,0,10,0,10
retail-platform,com.retail.controller,ProductController,157,0,8,0,46,0,15,0,9,0
retail-platform,com.retail.controller,AdminDashboardController,154,0,4,0,31,0,7,0,5,0
retail-platform,com.retail.controller,HealthController,26,0,0,0,6,0,2,0,2,0
retail-platform,com.retail.controller,AdminUploadController,124,0,10,0,27,0,8,0,3,0
retail-platform,com.retail.controller,OrderController,240,0,28,0,73,0,23,0,9,0
retail-platform,com.retail.controller,AdminUserController,231,0,12,0,63,0,15,0,9,0
retail-platform,com.retail.controller,UserController.LoginRequest,14,0,0,0,6,0,4,0,4,0
retail-platform,com.retail.controller,AdminProductController,330,0,12,0,89,0,20,0,14,0
retail-platform,com.retail.controller,UserController,263,0,30,0,77,0,26,0,11,0
retail-platform,com.retail.controller,ProductController.CategoryVO,14,0,0,0,6,0,4,0,4,0
retail-platform,com.retail.dto,AdminLoginDTO,199,0,38,0,6,0,32,0,13,0
retail-platform,com.retail.dto,ProductCreateDTO,477,0,94,0,12,0,74,0,27,0
retail-platform,com.retail.dto,OrderCreateDTO.OrderItemDTO,115,0,22,0,3,0,20,0,9,0
retail-platform,com.retail.dto,LoginDTO,159,0,30,0,5,0,26,0,11,0
retail-platform,com.retail.dto,OrderUpdateDTO,315,0,62,0,8,0,50,0,19,0
retail-platform,com.retail.dto,UserUpdateDTO,235,0,46,0,6,0,38,0,15,0
retail-platform,com.retail.dto,OrderSearchDTO,529,0,102,0,17,0,80,0,29,0
retail-platform,com.retail.dto,UserSearchDTO,363,0,70,0,9,0,56,0,21,0
retail-platform,com.retail.dto,UserCreateDTO,279,0,54,0,7,0,44,0,17,0
retail-platform,com.retail.dto,OrderCreateDTO,196,0,38,0,5,0,32,0,13,0
retail-platform,com.retail.dto,UserDTO,437,0,86,0,11,0,68,0,25,0
retail-platform,com.retail.dto,ProductUpdateDTO,477,0,94,0,12,0,74,0,27,0
retail-platform,com.retail.dto,ProductDTO,438,0,86,0,11,0,68,0,25,0
retail-platform,com.retail.dto,ProductSearchDTO,491,0,94,0,16,0,74,0,27,0
retail-platform,com.retail,RetailPlatformApplication,5,3,0,0,2,1,1,1,1,1
retail-platform,com.retail.common,GlobalExceptionHandler,30,7,0,0,6,2,3,2,3,2
retail-platform,com.retail.common,MyMetaObjectHandler,38,0,6,0,9,0,6,0,3,0
retail-platform,com.retail.common,Result,203,36,30,0,9,10,30,6,15,6
retail-platform,com.retail.common,OrderStatusEnum,0,163,0,13,0,32,0,20,0,11
retail-platform,com.retail.vo,OrderVO,439,0,86,0,11,0,68,0,25,0
retail-platform,com.retail.vo,OrderDetailVO,320,37,70,0,6,3,46,10,11,10
retail-platform,com.retail.vo,AdminOrderDetailVO,699,233,167,1,0,43,88,42,4,42
retail-platform,com.retail.util,JwtUtil,190,4,4,0,49,1,14,1,12,1
retail-platform,com.retail.util,RedisUtil,321,0,0,0,72,0,18,0,18,0
retail-platform,com.retail.repository,ProductRepository,114,4,12,0,19,1,22,1,16,1
retail-platform,com.retail.repository,AdminProductRepository,77,0,0,0,15,0,15,0,15,0
retail-platform,com.retail.repository,AdminOrderRepository,62,4,0,0,12,1,12,1,12,1
retail-platform,com.retail.repository,UserRepository,139,0,10,0,25,0,21,0,16,0
retail-platform,com.retail.repository,AdminUserRepository,142,0,0,0,28,0,28,0,28,0
retail-platform,com.retail.repository,OrderRepository,40,0,0,0,8,0,8,0,8,0
retail-platform,com.retail.entity,AdminUser,558,0,110,0,15,0,86,0,31,0
retail-platform,com.retail.entity,Order,687,130,161,1,4,23,90,37,8,37
retail-platform,com.retail.entity,User,558,0,110,0,15,0,86,0,31,0
retail-platform,com.retail.entity,Product,606,25,127,0,27,3,96,7,30,7
retail-platform,com.retail.config,JwtAuthenticationFilter,83,7,10,0,20,2,7,2,2,2
retail-platform,com.retail.config,MyBatisPlusConfig,15,0,0,0,4,0,2,0,2,0
retail-platform,com.retail.config,OpenApiConfig,67,0,0,0,23,0,3,0,3,0
retail-platform,com.retail.config,SecurityConfig,117,0,0,0,22,0,5,0,5,0
retail-platform,com.retail.config,WebMvcConfig,0,28,0,0,0,6,0,2,0,2
retail-platform,com.retail.config,RedisConfig,67,0,0,0,18,0,3,0,3,0
retail-platform,com.retail.service.impl,ProductServiceImpl,567,0,48,0,132,0,36,0,12,0
retail-platform,com.retail.service.impl,AdminUserServiceImpl,601,0,70,0,124,0,54,0,18,0
retail-platform,com.retail.service.impl,AdminOrderServiceImpl,692,440,69,41,129,104,55,22,8,14
retail-platform,com.retail.service.impl,UserServiceImpl,307,0,30,0,71,0,25,0,10,0
retail-platform,com.retail.service.impl,OrderServiceImpl,264,0,20,0,51,0,18,0,8,0
retail-platform,com.retail.service.impl,AdminProductServiceImpl,1294,0,82,0,290,0,70,0,29,0
